ANY,ACTIVITAT,IPCC_SECTOR,IPCC_DIVISIO,IPCC_CLASSE,IPCC_SUBCLASSE,NOM_SECTOR,NOM_DIVISIO,NOM_CLASSE,NOM_SUBCLASSE,CONTAMINANT,UNITATS,CO2EQ,EMISSIO GAS
2005,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,3.15,0.11
2006,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,5468.36,5468.36
2006,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.7,0.1
2006,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,63.67,0.24
2007,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,5571.64,5571.64
2007,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.66,0.1
2007,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,72.11,0.27
2008,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,73.93,0.28
2008,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.61,0.09
2008,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,5485.28,5485.28
2009,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,63.94,0.24
2009,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.14,0.08
2009,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,4701.45,4701.45
2010,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,4064.18,4064.18
2010,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,55.41,0.21
2010,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.85,0.07
